"id","parent_id:id","code","name"
"nace_23_32","nace_23_300000000000001","23.32","Manufacture of bricks, tiles and construction products, in baked clay"
"nace_23_399999999999999","nace_23","23.399999999999999","Manufacture of other porcelain and ceramic products"
"nace_23_41","nace_23_399999999999999","23.41","Manufacture of ceramic household and ornamental articles"
"nace_23_420000000000002","nace_23_399999999999999","23.420000000000002","Manufacture of ceramic sanitary fixtures"
"nace_23_43","nace_23_399999999999999","23.43","Manufacture of ceramic insulators and insulating fittings"
"nace_23_440000000000001","nace_23_399999999999999","23.440000000000001","Manufacture of other technical ceramic products"
"nace_23_489999999999998","nace_23_399999999999999","23.489999999999998","Manufacture of other ceramic products"
"nace_23_5","nace_23","23.5","Manufacture of cement, lime and plaster"
"nace_23_510000000000002","nace_23_5","23.510000000000002","Manufacture of cement"
"nace_23_52","nace_23_5","23.52","Manufacture of lime and plaster"
"nace_23_600000000000001","nace_23","23.600000000000001","Manufacture of articles of concrete, cement and plaster"
"nace_23_609999999999999","nace_23_600000000000001","23.609999999999999","Manufacture of concrete products for construction purposes"
"nace_23_620000000000001","nace_23_600000000000001","23.620000000000001","Manufacture of plaster products for construction purposes"
"nace_23_629999999999999","nace_23_600000000000001","23.629999999999999","Manufacture of ready-mixed concrete"
"nace_23_640000000000001","nace_23_600000000000001","23.640000000000001","Manufacture of mortars"
"nace_23_649999999999999","nace_23_600000000000001","23.649999999999999","Manufacture of fibre cement"
"nace_23_690000000000001","nace_23_600000000000001","23.690000000000001","Manufacture of other articles of concrete, plaster and cement"
"nace_23_699999999999999","nace_23","23.699999999999999","Cutting, shaping and finishing of stone"
"nace_23_699999999999999","nace_23_699999999999999","23.699999999999999","Cutting, shaping and finishing of stone"
"nace_23_899999999999999","nace_23","23.899999999999999","Manufacture of abrasive products and non-metallic mineral products n.e.c."
"nace_23_91","nace_23_899999999999999","23.91","Production of abrasive products"
"nace_23_989999999999998","nace_23_899999999999999","23.989999999999998","Manufacture of other non-metallic mineral products n.e.c."
"nace_24","nace_C","24","Manufacture of basic metals"
"nace_24_100000000000001","nace_24","24.100000000000001","Manufacture of basic iron and steel and of ferro-alloys"
"nace_24_100000000000001","nace_24_100000000000001","24.100000000000001","Manufacture of basic iron and steel and of ferro-alloys "
"nace_24_199999999999999","nace_24","24.199999999999999","Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
"nace_24_199999999999999","nace_24_199999999999999","24.199999999999999","Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
"nace_24_300000000000001","nace_24","24.300000000000001","Manufacture of other products of first processing of steel"
"nace_24_309999999999999","nace_24_300000000000001","24.309999999999999","Cold drawing of bars"
"nace_24_32","nace_24_300000000000001","24.32","Cold rolling of narrow strip"
"nace_24_329999999999998","nace_24_300000000000001","24.329999999999998","Cold forming or folding"
"nace_24_34","nace_24_300000000000001","24.34","Cold drawing of wire"
"nace_24_399999999999999","nace_24","24.399999999999999","Manufacture of basic precious and other non-ferrous metals"
"nace_24_41","nace_24_399999999999999","24.41","Precious metals production"
"nace_24_420000000000002","nace_24_399999999999999","24.420000000000002","Aluminium production"
"nace_24_43","nace_24_399999999999999","24.43","Lead, zinc and tin production"
"nace_24_440000000000001","nace_24_399999999999999","24.440000000000001","Copper production"
"nace_24_449999999999999","nace_24_399999999999999","24.449999999999999","Other non-ferrous metal production"
"nace_24_460000000000001","nace_24_399999999999999","24.460000000000001","Processing of nuclear fuel "
"nace_24_5","nace_24","24.5","Casting of metals"
"nace_24_510000000000002","nace_24_5","24.510000000000002","Casting of iron"
"nace_24_52","nace_24_5","24.52","Casting of steel"
"nace_24_530000000000001","nace_24_5","24.530000000000001","Casting of light metals"
"nace_24_539999999999999","nace_24_5","24.539999999999999","Casting of other non-ferrous metals"
"nace_25","nace_C","25","Manufacture of fabricated metal products, except machinery and equipment"
"nace_25_100000000000001","nace_25","25.100000000000001","Manufacture of structural metal products"
"nace_25_109999999999999","nace_25_100000000000001","25.109999999999999","Manufacture of metal structures and parts of structures"
"nace_25_120000000000001","nace_25_100000000000001","25.120000000000001","Manufacture of doors and windows of metal"
"nace_25_199999999999999","nace_25","25.199999999999999","Manufacture of tanks, reservoirs and containers of metal"
